"key","nl","en"

"hello","Hallo!","Hello!"
"tamper_scale","Verander schaal","Tamper scale"
"tamper_position","Verander positie","Tamper position"
"dutch","Nederlands","Dutch"
"english","Engels","English"
"Lobby","Lobby","Lobby"
"1. Standard","Standaard","Standard"
"2. Dark","Donker","Dark"
"3. Living Room","Woonkamer","Living Room"
"4. Night","Nacht","Night"
"master_become","Wordt Master","Become Master"
"master_are","Dit is Master Client","This is Master Client"
"leave_room","Verbreek connectie","Stop connection"
